BitSreamSHA1, BitSreamMD5, InputYUVSHA1, InputYUVMD5, -utype, -frms, -numl, -numtl, -sw, -sh, -dw 0, -dh 0, -dw 1, -dh 1,-dw 2, -dh 2, -dw 3, -dh 3, -frout 0, -frout 1, -frout 2, -frout 3, -lqp 0, -lqp 1, -lqp 2, -lqp 3, -rc, -tarb, -ltarb 0, -ltarb 1, -ltarb 2, -ltarb 3, -slcmd 0, -slcnum 0, -slcmd 1, -slcnum 1, -slcmd 2, -slcnum 2, -slcmd 3, -slcnum 3, -nalsize, -iper, -thread, -ltr, -db, -denois, -scene , bgd , -aq
 6ef5d54a6d6d955bf35c4ba9fe76e36d9a64a1fc, c31da57b31d2448351d394a74a1b7272, 6787ee0516a3cd2560cac9e327454d45458ef931,d0ec0e70a13660fb2feb5bf23f3c64c6, 0, 12 , 1, 4, 160, 96, 160,96,0,0,0,0,0,0, 6, 6,6,6, 26, 26, 26, 26, -1, 120.00,120.00,0,0,0, 1, 7, 1, 7, 1, 7, 1, 7, 0, 0, 4, 1, 1, 1, 1, 0, 0
 a2f1bcddfd515c343d6e52e3b316d537430586d5, 05308981cd0192ced9aab941645201f6, 6787ee0516a3cd2560cac9e327454d45458ef931,d0ec0e70a13660fb2feb5bf23f3c64c6, 0, 12 , 1, 4, 160, 96, 160,96,0,0,0,0,0,0, 6, 6,6,6, 26, 26, 26, 26, -1, 30.00,30.00,0,0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0
 a10e56f0a548661777ce9b8df1891cc8beb0c565, 90518b06f6e6fcae6eae4b803e775bd4, 6787ee0516a3cd2560cac9e327454d45458ef931,d0ec0e70a13660fb2feb5bf23f3c64c6, 0, 12 , 1, 4, 160, 96, 160,96,0,0,0,0,0,0, 6, 6,6,6, 26, 26, 26, 26, -1, 30.00,30.00,0,0,0, 1,4, 1,1, 1,1, 1,1, 0, 0, 1, 1, 1, 1, 1, 0, 0
 a10e56f0a548661777ce9b8df1891cc8beb0c565, 90518b06f6e6fcae6eae4b803e775bd4, 6787ee0516a3cd2560cac9e327454d45458ef931,d0ec0e70a13660fb2feb5bf23f3c64c6, 0, 12 , 1, 4, 160, 96, 160,96,0,0,0,0,0,0, 6, 6,6,6, 26, 26, 26, 26, -1, 30.00,30.00,0,0,0, 1,4, 1,1, 1,1, 1,1, 0, 0, 4, 1, 1, 1, 1, 0, 0
 6ef5d54a6d6d955bf35c4ba9fe76e36d9a64a1fc, c31da57b31d2448351d394a74a1b7272, 6787ee0516a3cd2560cac9e327454d45458ef931,d0ec0e70a13660fb2feb5bf23f3c64c6, 0, 12 , 1, 4, 160, 96, 160,96,0,0,0,0,0,0, 6, 6,6,6, 26, 26, 26, 26, -1, 30.00,30.00,0,0,0, 1, 7, 1, 7, 1, 7, 1, 7, 0, 0, 1, 1, 1, 1, 1, 0, 0
 6ef5d54a6d6d955bf35c4ba9fe76e36d9a64a1fc, c31da57b31d2448351d394a74a1b7272, 6787ee0516a3cd2560cac9e327454d45458ef931,d0ec0e70a13660fb2feb5bf23f3c64c6, 0, 12 , 1, 4, 160, 96, 160,96,0,0,0,0,0,0, 6, 6,6,6, 26, 26, 26, 26, -1, 30.00,30.00,0,0,0, 1, 7, 1, 7, 1, 7, 1, 7, 0, 0, 4, 1, 1, 1, 1, 0, 0
 62f21fa65601801d755eec4b53ab2bfb0badfcc7, 3f0b6353ebb3c4ced9f98c8e6b4d798d, 6787ee0516a3cd2560cac9e327454d45458ef931,d0ec0e70a13660fb2feb5bf23f3c64c6, 0, 12 , 1, 4, 160, 96, 160,96,0,0,0,0,0,0, 6, 6,6,6, 26, 26, 26, 26, 1, 120.00,120.00,0,0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0
 20facbacbe0b887c99aada3c8351031edefa863d, ec61412d5edcbaf5c0929e54d9f03015, 6787ee0516a3cd2560cac9e327454d45458ef931,d0ec0e70a13660fb2feb5bf23f3c64c6, 0, 12 , 1, 4, 160, 96, 160,96,0,0,0,0,0,0, 6, 6,6,6, 26, 26, 26, 26, 1, 120.00,120.00,0,0,0, 1,4, 1,1, 1,1, 1,1, 0, 0, 1, 1, 1, 1, 1, 0, 0
 20facbacbe0b887c99aada3c8351031edefa863d, ec61412d5edcbaf5c0929e54d9f03015, 6787ee0516a3cd2560cac9e327454d45458ef931,d0ec0e70a13660fb2feb5bf23f3c64c6, 0, 12 , 1, 4, 160, 96, 160,96,0,0,0,0,0,0, 6, 6,6,6, 26, 26, 26, 26, 1, 120.00,120.00,0,0,0, 1,4, 1,1, 1,1, 1,1, 0, 0, 4, 1, 1, 1, 1, 0, 0
 20facbacbe0b887c99aada3c8351031edefa863d, ec61412d5edcbaf5c0929e54d9f03015, 6787ee0516a3cd2560cac9e327454d45458ef931,d0ec0e70a13660fb2feb5bf23f3c64c6, 0, 12 , 1, 4, 160, 96, 160,96,0,0,0,0,0,0, 6, 6,6,6, 26, 26, 26, 26, 1, 120.00,120.00,0,0,0, 1, 7, 1, 7, 1, 7, 1, 7, 0, 0, 1, 1, 1, 1, 1, 0, 0
